num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete,flight_length
2,Internet,RoundTrip,262,19,7,Sat,AKLDEL,"New Zealand",1,0,0,5.52,0,short
1,Internet,RoundTrip,112,20,3,Sat,AKLDEL,"New Zealand",0,0,0,5.52,0,short
2,Internet,RoundTrip,243,22,17,Wed,AKLDEL,India,1,1,0,5.52,0,short
1,Internet,RoundTrip,96,31,4,Sat,AKLDEL,"New Zealand",0,0,1,5.52,0,short
2,Internet,RoundTrip,68,22,15,Wed,AKLDEL,India,1,0,1,5.52,0,short
1,Internet,RoundTrip,3,48,20,Thu,AKLDEL,"New Zealand",1,0,1,5.52,0,short
3,Internet,RoundTrip,201,33,6,Thu,AKLDEL,"New Zealand",1,0,1,5.52,0,short
2,Internet,RoundTrip,238,19,14,Mon,AKLDEL,India,1,0,1,5.52,0,short
1,Internet,RoundTrip,80,22,4,Mon,AKLDEL,"New Zealand",0,0,1,5.52,0,short
1,Mobile,RoundTrip,378,30,12,Sun,AKLDEL,India,0,0,0,5.52,0,short
2,Internet,RoundTrip,185,25,14,Tue,AKLDEL,"United Kingdom",1,1,1,5.52,0,short
1,Internet,RoundTrip,8,43,2,Sat,AKLDEL,"New Zealand",1,1,1,5.52,0,short
4,Internet,RoundTrip,265,24,19,Mon,AKLDEL,"New Zealand",1,0,1,5.52,0,short
1,Internet,RoundTrip,185,17,14,Fri,AKLDEL,India,0,0,0,5.52,0,short
1,Internet,RoundTrip,245,34,4,Tue,AKLDEL,"New Zealand",1,1,1,5.52,0,short
1,Internet,RoundTrip,192,18,14,Thu,AKLDEL,India,1,0,0,5.52,0,short
1,Internet,RoundTrip,259,37,6,Sun,AKLDEL,India,0,0,0,5.52,0,short
1,Internet,RoundTrip,19,29,10,Sat,AKLDEL,"New Zealand",0,0,1,5.52,0,short
1,Internet,RoundTrip,67,155,8,Sun,AKLDEL,"New Zealand",1,0,0,5.52,0,short
1,Internet,RoundTrip,351,17,3,Sun,AKLHGH,China,0,0,0,5.07,0,short
2,Internet,CircleTrip,228,29,23,Wed,AKLHND,"New Zealand",1,0,0,7.57,0,long
1,Internet,RoundTrip,21,88,9,Wed,AKLICN,"South Korea",1,0,1,6.62,0,medium
2,Internet,RoundTrip,23,19,8,Mon,AKLICN,"New Zealand",1,0,1,6.62,0,medium
2,Internet,RoundTrip,25,27,13,Fri,AKLICN,"South Korea",1,0,1,6.62,0,medium
1,Internet,RoundTrip,16,21,6,Thu,AKLICN,"New Zealand",1,0,1,6.62,0,medium
1,Internet,RoundTrip,66,20,7,Thu,AKLICN,"South Korea",1,0,0,6.62,0,medium
1,Internet,RoundTrip,51,28,6,Fri,AKLICN,"South Korea",0,0,0,6.62,0,medium
2,Internet,RoundTrip,37,24,7,Mon,AKLICN,"New Zealand",1,0,0,6.62,0,medium
1,Internet,RoundTrip,101,19,11,Tue,AKLICN,"South Korea",1,0,1,6.62,0,medium
1,Internet,RoundTrip,19,47,2,Tue,AKLICN,"New Zealand",1,0,1,6.62,0,medium
1,Internet,RoundTrip,16,35,23,Wed,AKLICN,"New Zealand",1,1,0,6.62,0,medium
2,Internet,RoundTrip,7,82,4,Thu,AKLICN,"South Korea",1,0,1,6.62,0,medium
1,Internet,RoundTrip,5,27,0,Fri,AKLICN,"New Zealand",0,0,1,6.62,0,medium
1,Internet,RoundTrip,185,34,4,Mon,AKLICN,"New Zealand",1,0,1,6.62,0,medium
1,Internet,RoundTrip,21,22,7,Fri,AKLICN,"New Zealand",1,1,0,6.62,0,medium
1,Internet,RoundTrip,7,27,4,Wed,AKLICN,"New Zealand",0,0,1,6.62,0,medium
1,Internet,RoundTrip,33,22,14,Sat,AKLICN,"South Korea",1,0,0,6.62,0,medium
6,Internet,RoundTrip,20,22,3,Fri,AKLICN,"South Korea",1,1,1,6.62,0,medium
2,Internet,RoundTrip,56,21,7,Thu,AKLICN,"New Zealand",1,0,0,6.62,0,medium
1,Internet,RoundTrip,3,33,1,Mon,AKLICN,"South Korea",1,0,1,6.62,0,medium
1,Internet,RoundTrip,13,26,7,Mon,AKLICN,"South Korea",1,0,0,6.62,0,medium
1,Internet,RoundTrip,71,90,7,Thu,AKLICN,"South Korea",1,1,1,6.62,0,medium
2,Internet,RoundTrip,346,23,8,Mon,AKLICN,"South Korea",1,0,1,6.62,0,medium
1,Internet,RoundTrip,9,84,7,Wed,AKLICN,"New Zealand",1,0,0,6.62,0,medium
1,Internet,RoundTrip,65,22,14,Thu,AKLICN,"South Korea",1,0,0,6.62,0,medium
1,Mobile,RoundTrip,221,61,2,Sun,AKLICN,"New Zealand",0,0,0,6.62,0,medium
1,Internet,RoundTrip,65,18,14,Wed,AKLICN,"South Korea",0,0,1,6.62,0,medium
2,Internet,RoundTrip,7,40,7,Wed,AKLICN,"South Korea",1,0,1,6.62,0,medium
1,Internet,RoundTrip,107,24,14,Fri,AKLICN,"South Korea",0,1,0,6.62,0,medium
1,Internet,RoundTrip,14,27,10,Wed,AKLICN,"New Zealand",0,0,0,6.62,0,medium
1,Internet,RoundTrip,77,96,9,Tue,AKLICN,"New Zealand",1,0,1,6.62,0,medium
1,Internet,RoundTrip,65,17,9,Wed,AKLICN,"New Zealand",1,0,0,6.62,0,medium
1,Internet,RoundTrip,24,25,8,Thu,AKLICN,"South Korea",1,0,1,6.62,0,medium
1,Internet,RoundTrip,47,69,2,Wed,AKLICN,"South Korea",1,1,1,6.62,0,medium
